,-1,1,0,0,-8,-2,0,0
,-1,-1,1,0,4,1,-2,-1
,-4,-1,-1,3,-2,-1,-2,-2
,0,-2,-2,0,2,0,1,-1
,-2,-1,-1,-1,-2,3,-2,-2
,0,-1,-2,-5,-4,-1,0,0
,0,-2,-1,-2,2,3,1,-1
,-1,-2,-1,3,5,2,0,-1
,-2,-3,-2,-3,-6,-6,-2,-2
,0,0,-2,-2,1,0,0,-1
,0,-1,-1,1,-2,0,-1,-2
,-2,-1,-1,0,4,0,-2,1
,-2,-1,-2,-10,-7,-2,-2,1
,-3,-2,0,5,2,-2,0,-1
,0,0,-1,-3,0,-5,-3,0
,0,-1,1,-9,-5,0,-1,-1
,-1,0,2,3,-1,0,-1,-2
,-1,-2,-5,-4,0,-2,-1,-2
,-1,-2,-1,2,-1,-1,0,-1
,-1,0,-1,-3,1,-2,-1,-1
,0,-1,-1,1,1,-1,0,-1
,0,-3,0,-7,-5,2,0,0
,0,0,-1,-1,5,3,2,0
,-2,-2,-4,2,-9,-5,-4,-3
,-2,-2,-2,-13,-6,-5,-4,-3
,-1,2,2,9,2,1,0,0
,0,-2,-3,-7,-4,-2,-1,-1
,0,-1,1,2,0,1,1,1
,0,0,0,8,6,4,0,-1
,-2,-2,-1,-5,-3,-2,-3,-1
,-2,-1,-4,-5,-6,-2,-1,1
,-2,-2,0,5,6,-2,-1,-1
,0,-2,-2,-10,-6,0,-1,0
,1,-2,1,7,9,1,2,-1
,-2,0,-2,-5,-9,-3,0,-1
,1,-2,-2,3,1,2,1,0
,-3,-1,-1,-2,-4,-7,-4,-1
,0,-2,-1,0,-4,-1,-4,-1
,0,0,2,14,12,1,0,1
,-2,0,-1,-15,-18,-2,0,0
,0,-2,-4,-4,14,-1,0,1
,0,-1,0,1,-1,-3,-2,-2
,-2,-1,-1,0,-2,0,-2,-1
,-2,-1,-1,0,-1,-2,-2,-2
,0,0,-1,-1,-6,1,3,-1
,-3,-2,-2,-3,-3,-4,-1,-2
,-1,-2,-1,2,1,-2,-3,-1
,-3,-4,1,-8,3,-3,-2,-1
,-2,-1,-3,2,0,-1,-2,-1
,0,-2,-3,-4,1,-3,-1,-1
,-1,0,1,0,-7,-3,-1,-2
,1,-1,0,1,1,-4,-3,-2
,0,0,-1,3,0,-4,0,0
,-1,-1,-1,-5,-5,-2,-1,0
,-1,-3,0,2,4,-1,-1,-1
,-3,0,-1,-6,-3,-3,-1,-2
,0,-2,1,2,7,2,-1,-2
,0,-1,-3,4,-11,3,-1,-1
,-3,-2,-2,-16,-9,-4,-1,-2
,-1,-1,-2,13,8,4,1,-1
,0,1,1,-7,-15,-3,-1,-1
,-1,-1,-1,-3,9,1,0,-1
,0,-2,1,-1,0,0,0,-1
,0,-1,0,9,-2,-2,1,0
,-2,-2,-1,-10,-2,1,2,-1
,-3,-2,-3,1,-7,-3,-4,-1
,-1,1,-2,-4,0,2,0,0
,-2,-2,-3,-7,-4,-3,-4,-3
,2,-2,-2,6,0,1,0,-1
,-1,0,2,-5,-1,0,1,-2
,-1,-2,-4,-4,-1,-1,-2,-1
,-1,-2,0,0,-1,2,-2,-3
,-3,-1,-2,1,-5,-3,-2,-1
,-1,1,2,3,9,4,0,-1
,0,-1,0,2,-8,-4,-3,-2
,-1,-2,-3,-3,0,-1,0,0
,-3,-2,1,-1,-3,-1,-2,-1
,0,-2,0,6,1,-2,0,-2
,-1,-1,-1,-6,0,-2,-1,1
,-1,2,0,-9,-9,-3,-3,-1
,0,-2,-2,3,7,0,-3,-3
,-3,0,-2,-2,-3,0,0,0
,-1,-1,0,2,-3,0,-1,-2
,-2,-2,0,0,0,-3,0,0
,-1,0,0,-5,-3,0,-1,-1
,-1,1,-1,3,1,-2,-1,-2
,-1,-3,-5,-2,3,0,-2,-2
,-1,1,0,2,0,-1,1,-2
,-1,-2,-1,-2,-8,-7,-4,-1
,-2,-1,-2,-5,1,-3,-1,-1
,0,-1,-2,1,2,1,-1,0
,-1,-1,1,-3,1,-2,0,-1
,-1,-2,-3,-5,-1,-2,-1,0
,-1,-1,0,1,-5,-2,-2,1
,-3,0,-1,6,2,-1,-2,0
,-2,-1,-3,-11,1,1,1,-1
,0,0,0,2,-8,-4,-1,0
,0,-2,1,0,10,0,-2,-2
,-1,0,0,-4,-2,0,0,0
,-2,-3,-3,3,1,0,-4,-3
,-2,-2,-1,1,-2,1,1,-1
,1,1,-1,-3,-7,-4,0,0
,-2,-1,0,3,2,-3,-1,-2
,-2,-2,-1,-3,-2,-5,-2,-2
,-2,0,1,-3,1,3,-1,-3
,-3,-2,-3,-4,-3,2,-1,-1
,0,0,-2,4,0,-3,0,-1
,0,-1,0,-9,-7,-1,-1,0
,0,-2,-2,1,4,0,-1,0
,0,0,1,0,1,0,-1,0
,0,-2,-2,2,1,2,0,-1
,-1,-3,-2,-7,-4,-1,0,0
,-1,0,0,1,-4,-1,-3,-1
,0,-2,1,-3,9,-3,-2,-1
,-1,0,-2,0,-2,0,0,-1
,-2,0,-2,5,9,4,-1,0
,-3,-1,-1,-5,-8,-1,-1,0
,-1,-1,-1,1,-10,-1,1,-2
,-2,-1,0,-2,1,1,-1,0
,-1,-1,-1,5,6,-2,-4,-3
,0,-2,-3,1,1,-2,1,0
,-1,-2,-1,-5,-4,-2,-3,0
,0,-1,-3,-7,-2,1,0,0
,-1,-1,-2,5,-5,-3,-1,-2
,0,0,-2,-3,6,0,-1,-1
,1,-1,-1,3,0,-1,-1,0
,0,-1,0,-3,-2,-5,-3,-2
,0,-3,-3,1,-13,-1,-1,-1
,-3,-2,-2,1,11,0,1,-1
,-2,0,-1,-5,-5,-1,-2,-3
,0,-2,1,-10,-9,-3,-3,1
,0,-1,-1,1,0,0,1,0
,-1,-2,-4,-6,-3,1,1,-1
,-2,-3,-3,-8,-4,-4,-2,-2
,0,-2,-1,7,5,-1,0,-2
,0,-2,-1,-4,-1,0,-1,-1
,-1,0,-1,0,2,0,-1,-2
,1,0,-2,1,0,-2,-2,-1
,-1,1,-1,-3,-4,2,0,-2
,-3,-1,-2,2,6,-1,-2,-2
,-1,-1,0,-2,3,0,-1,0
,-1,-2,-2,-3,-10,-4,0,0
,-3,-2,-1,0,6,0,-1,-2
,-2,-1,0,2,-10,-4,-3,-1
,-3,1,0,-1,8,-4,-2,-2
,0,-1,-3,6,3,1,-2,-1
,-2,-2,-1,-21,-15,-5,-3,-2
,-1,-2,-1,3,3,-2,0,-1
,-1,0,-1,0,-6,0,-2,-1
,-2,-1,0,4,3,0,-2,-1
,0,1,0,0,-5,1,-1,0
,-1,1,1,0,0,-1,0,-1
,-1,-3,-6,2,-1,-3,-2,-2
,0,-1,0,1,4,4,2,-1
,-1,0,-3,-4,5,0,-1,-1
,0,-2,-1,-4,-1,-1,0,0
,0,1,0,1,-6,0,0,0
,0,0,-2,-2,4,-2,1,-1
,-3,-1,1,1,-5,0,-1,-1
,-1,-2,-2,-6,0,0,-3,-1
,-1,0,0,3,2,0,0,-2
,-1,0,-3,-1,-1,-3,-2,1
,0,-2,-3,-1,7,-6,-3,-2
,0,0,0,1,0,1,-1,-1
,0,-1,-1,0,-7,-1,-1,0
,-3,-1,2,-5,-8,0,-1,0
,-2,-2,-4,-2,0,-1,-3,-1
,-1,0,0,5,4,-2,-2,-2
,0,0,0,-1,0,0,-3,-1
,0,-1,-3,-5,-4,-2,-1,-2
,-2,-2,-2,-3,-2,-1,0,0
,0,0,1,12,3,0,2,-1
,-1,-2,-1,-9,-3,-1,-3,-3
,-1,-1,-1,-10,0,0,-1,-1
,-1,-2,1,4,2,2,1,-2
,-1,0,-3,-6,-7,-3,-1,-1
,-1,-1,-1,1,0,0,0,-1
,1,0,-1,1,2,-1,-2,0
,0,0,1,7,-1,-3,-1,-2
,-1,-2,0,-16,-9,2,0,-1
,0,-3,-3,1,-1,-1,-1,-2
,-3,-1,0,-1,5,-1,-2,-1
,-2,1,-2,1,-4,-1,-1,1
,-2,-1,-3,-4,-1,-4,-1,-1
,-1,-2,0,-3,-4,-5,-3,-1
,-2,-1,-1,0,-4,-2,-2,-3
,0,-2,0,4,0,0,1,-1
,0,2,1,0,7,-3,-2,1
,-2,-1,-4,-7,-7,-2,-3,-1
,1,-2,2,7,-3,0,1,0
,-1,0,2,-2,0,-2,-1,0
,-1,-3,-4,-1,-10,1,-1,-1
,-1,-2,2,-3,4,-4,0,-1
,-2,-4,-5,-1,0,-2,-2,-2
,0,0,0,1,-3,-1,1,-1
,0,-2,-1,3,1,2,1,0
,-1,1,3,2,1,-2,-2,-2
,-1,0,-1,-3,0,1,1,-3
,0,0,-1,-2,-8,-4,-3,-1
,-1,-3,-5,-4,-3,-3,-4,-1
,0,-2,-1,8,2,2,1,0
,1,-2,1,-3,-2,-3,-2,-2
,1,-1,-1,0,-4,2,2,-3
,1,1,-1,0,0,-1,-1,-1
,-1,0,-3,-3,0,1,1,1
,0,-1,-2,-2,-2,-2,-1,-1
,-2,-1,-3,1,-3,-2,-2,-2
,0,-1,-1,-6,-3,-1,0,-4
,-2,-1,0,-3,-6,-6,-3,-1
,-1,-1,-2,5,1,0,1,-1
,-1,-2,-1,6,5,0,-1,0
,-2,-1,-2,-9,-1,-1,1,-1
,1,0,0,10,7,2,0,0
,-2,1,-1,-12,-12,-2,-2,-1
,-2,-2,-2,-2,-5,-2,-2,-1
,-2,-2,-2,-3,10,-3,-2,-2
,-1,0,-2,-3,-3,-1,-2,-1
,0,-1,-1,1,-2,0,0,0
,0,-1,-2,-2,0,-1,-1,0
,1,1,1,2,-5,-2,0,0
,-1,-1,-2,-3,-2,0,1,-1
,0,0,0,-1,5,0,0,-1
,-2,-2,-2,-6,1,-1,0,-2
,0,-1,-2,-3,-5,-4,-3,-1
,-1,-1,-2,-1,0,-2,-2,-2
,0,0,-1,-6,-6,-1,-4,1
,0,1,1,5,6,3,0,-1
,-1,-2,-4,-1,0,1,-1,-1
,-1,-3,-3,-1,-4,-1,0,-1
,-2,-2,-2,9,5,-4,-2,-2
,-3,-3,-2,-10,-6,-2,-1,-1
,0,-1,2,-5,-2,0,-2,-2
,-1,1,0,2,9,-1,-1,0
,0,-2,-1,-2,-9,-2,-1,-1
,0,1,0,3,-3,-1,-2,-2
,0,-1,-3,1,2,-2,-1,-2
,0,-2,-1,-3,-5,1,1,1
,-2,-1,-1,-2,-1,0,-2,-1
,0,0,-1,-5,-1,-1,-1,-1
,-2,-1,0,6,3,-2,-1,-1
,0,-1,-1,-4,-8,-2,-3,-2
,-1,0,0,-3,6,3,3,0
,1,-2,-2,-8,-10,-4,-3,-1
,0,0,0,0,0,-1,0,1
,-1,-1,-2,-5,-2,-3,-3,-1
,-1,-2,-4,2,1,-1,0,-2
,-1,2,2,2,4,1,0,0
,-2,-2,-1,-3,-3,1,0,-1
,-1,0,0,5,-2,-4,-2,-2
,-1,-2,-2,-6,-3,0,0,2
,0,-1,-4,-2,1,-6,-2,-1
,-3,-3,-2,5,1,0,0,0
,-1,-1,0,-9,-4,0,-1,-2
,0,0,-2,1,2,-5,-4,-1
,-1,-1,-2,2,1,0,0,0
,1,-1,-1,-3,3,1,-1,-2
,-1,-1,1,4,-9,-1,1,-1
,-4,0,-1,0,-2,1,1,-2
,-2,-1,-2,-4,-1,0,-3,-2
,-1,0,0,-1,-2,-1,-1,-2
,0,-1,-1,-1,1,-1,1,-1
,0,0,-1,-2,-3,0,0,0
,-2,-3,-3,1,10,-1,-3,-1
,-1,-3,-1,-10,-10,-1,-4,-2
,-2,-1,-1,4,7,-2,-3,-2
,0,-1,2,-4,-8,-4,-1,0
,-1,-3,-3,-2,-3,0,-2,-1
,0,0,1,15,-2,-2,-1,0
,-1,1,-1,-5,3,1,2,0
,-1,-1,-2,-2,0,0,-2,0
,1,-1,0,-1,0,1,1,0
,-1,2,-1,-3,-1,-3,-2,-1
,1,-2,-2,7,2,2,-1,-2
,-1,0,0,-5,-3,-6,-3,-2
,0,-1,-1,-2,-1,1,0,-2
,-2,-3,-3,1,1,0,-1,0
,1,-2,-1,-5,-1,-1,0,1
,-2,-1,-2,3,0,-1,-3,-3
,0,-1,4,1,-2,-2,0,0
,1,-1,-2,-1,1,0,0,0
,-1,-1,-1,-2,1,-2,-2,-2
,2,-2,-2,0,-8,-2,0,-1
,-1,0,-2,-3,-4,1,0,1
,-1,-1,-2,-1,10,1,0,0
,-2,-2,-1,7,2,-4,-3,-1
,0,-2,-1,-11,-3,1,-1,0
,-2,0,1,2,-5,-2,-1,-1
,-1,-1,-2,-9,-6,-1,-3,-3
,-3,-1,-3,-3,-2,1,0,-2
,0,-1,3,10,3,-2,-1,-1
,-2,-3,-2,0,0,-2,-1,-2
,0,0,-1,-6,-6,-1,-2,-1
,0,-1,-1,-6,-6,0,0,0
,-1,-1,-1,2,3,0,1,-2
,-1,-2,-1,-3,-3,-1,0,-1
,-2,-1,-1,7,1,0,-1,-1
,-3,-1,-2,-5,-5,-2,-3,1
,-2,-1,-1,-2,0,-1,-1,-2
,0,1,-2,0,2,0,-2,-2
,0,-1,0,-1,-2,-1,0,-1
,0,-1,-2,0,-4,-3,-1,-2
,0,-3,0,1,6,-2,-1,0
,0,-3,-3,-9,-11,-4,-3,-1
,-2,0,1,3,-8,1,1,-1
,-2,0,0,-3,-7,0,-1,-2
,0,-1,-1,3,1,1,0,0
,1,-1,0,7,9,2,1,-2
,-1,-1,-4,-10,-7,1,-2,-1
,0,-1,-1,-3,-1,-3,-2,-1
,-2,-3,-1,-5,-10,-6,-3,-1
,-1,2,1,7,0,0,0,0
,-2,-2,-1,3,3,-1,-1,-2
,-2,0,2,7,4,2,1,-1
,-1,-1,-4,-8,-2,0,-3,-2
,-1,-3,-2,-8,-2,-4,-3,-2
,-1,-1,0,4,3,-2,-3,0
,-1,-1,-1,-11,-6,-1,-1,-1
,-1,-1,-1,1,8,-3,-2,-3
,-1,0,-3,0,-2,3,0,0
,-1,-1,-2,0,-2,-1,-2,-1
,0,-3,-1,-1,6,1,0,-1
,-1,1,0,-3,-10,1,0,0
,-3,-1,-1,-6,-4,-6,-3,-1
,-2,1,0,2,0,-1,0,0
,1,1,0,0,0,1,0,0
,-1,0,0,-6,-5,0,-2,-2
,0,-2,-2,0,2,2,0,-1
,0,-3,0,-6,-1,-3,1,1
,-1,-2,-1,-2,-6,0,-2,-1
,-2,-2,-3,5,4,-1,-1,-2
,-1,0,-1,-7,-7,-3,-1,-2
,1,-4,-2,0,-5,-2,-1,0
,0,-1,-2,-8,-2,-2,-2,2
,-1,1,-1,1,1,-2,-1,-1
,-1,-4,-2,0,3,2,2,-1
,0,-2,-2,-2,-3,-4,-3,0
,-2,-2,-1,-3,-7,-3,-1,-2
,1,-1,-1,-3,2,-1,-2,-2
,-2,1,-1,5,-5,0,-1,-2
,-1,0,-1,-7,-8,-5,-2,-2
,-2,-2,-2,1,-5,1,1,-1
,-2,-2,0,-2,3,-1,-2,0
,1,1,4,7,1,2,-1,0
,0,-2,-3,-3,2,0,-1,-2
,0,0,-1,1,-4,-3,-2,1
,-2,-2,-2,-1,-3,0,-1,-1
,-1,-2,-2,-1,-2,-3,-1,-2
,-3,1,0,2,2,1,0,0
,-1,0,-3,-1,3,-1,-2,-3
,0,-1,-3,-4,-10,-3,1,0
,-2,-2,-4,-2,15,-3,-4,0
,-1,0,1,-4,-17,0,-2,-1
,0,-2,0,3,9,2,-1,-3
,-1,2,-1,-4,-8,-1,1,1
,-1,2,-1,-3,-2,1,1,0
,-1,0,1,6,7,0,2,-1
,-1,-2,-1,1,3,1,-1,-1
,-2,-1,-1,2,0,-4,-3,-1
,0,0,-3,-6,0,-1,-2,0
,0,-2,-1,3,1,0,-2,-2
,-1,-1,-2,-3,-3,1,-1,0
,0,-3,0,5,2,-1,-1,-1
,0,-2,-2,-5,-3,-2,-1,-2
,0,-1,-3,-1,-3,0,1,0
,1,0,-2,-1,15,-5,-3,-2
,-2,-2,-3,1,3,0,-2,-2
,-1,-2,-1,-3,-5,-2,0,0
,-2,-1,-2,-1,-4,-1,-1,-3
,0,1,0,-5,-10,-2,0,0
,0,0,-1,1,4,1,-1,1
,0,-1,-1,3,4,1,-1,-1
,0,-2,-1,-2,0,-2,-1,-1
,-1,-1,-3,-4,-8,-3,-2,-1
,0,-1,0,0,6,3,2,-1
,-2,1,0,-2,-7,1,-2,-1
,0,0,0,-4,3,0,-1,1
,-2,0,-1,4,0,-1,-1,-2
,0,-1,-1,-1,-6,-4,2,-1
,-1,-3,1,-2,-4,-2,-1,-2
,-2,0,-2,0,7,-3,-1,-1
,0,-2,-4,-5,-12,-1,2,-2
,-1,1,1,0,10,-1,-1,-2
,0,0,0,3,-1,0,-1,-2
,-1,0,1,5,6,-1,-4,-2
,-2,0,-1,-10,-14,-5,-3,-1
,0,-1,0,1,2,1,-2,-1
,-2,0,-4,-2,-1,-2,0,-1
,-2,-2,-5,-7,-5,0,-1,0
,-1,-1,3,5,5,-1,-1,-1
,-1,-1,-1,-3,-12,-2,-1,0
,-2,-1,0,5,2,-3,-3,1
,-1,-4,-2,-1,2,0,0,-1
,-2,-1,1,-3,-1,0,0,-2
,0,-3,-2,-2,0,0,0,-1
,1,-3,-1,0,-4,-3,-1,-5
,-1,0,2,0,-4,-1,0,0
,-1,0,-2,-2,3,-5,-2,-1
,-1,0,-4,2,-4,-1,-3,-1
,-1,-1,-1,-2,-5,-4,-1,-1
,0,-2,0,-6,-8,-2,-1,-1
,0,-2,-1,7,12,5,0,0
,-2,-1,0,-1,-11,-6,-3,-1
,-1,-2,-4,-10,0,-1,0,-1
,-2,0,-1,6,1,-4,-4,-1
,0,-1,-1,-2,-7,1,-2,0
,-1,-3,-3,-7,-1,-1,-2,-3
,0,-1,1,-1,-2,-1,-1,0
,1,0,-1,4,4,3,1,1
,-1,-1,1,6,0,-2,0,0
,-1,0,2,-5,1,1,-2,-1
,-1,-2,0,-1,0,-2,-1,-1
,0,-3,-1,-4,-1,0,0,-3
,0,-1,1,4,1,-1,-2,-2
,-1,-1,-3,-1,-3,0,2,-1
,-1,-1,-1,0,-1,-2,-2,0
,0,0,-1,-3,0,-3,-1,1
,-1,-2,-3,-2,4,2,0,-1
,-1,-2,1,0,-6,-3,-1,-1
,-2,-3,-2,-10,-3,-1,-1,-3
,0,-2,-1,1,3,-2,-3,-1
,0,-1,-3,-9,-10,-2,-1,-2
,-2,1,-2,5,7,0,0,0
,1,-1,1,1,-6,-4,-2,-1
,-1,-1,-3,7,-1,0,1,-1
,-1,-2,-2,-6,2,-1,-1,1
,-1,0,0,-2,-5,1,0,0
,0,2,1,4,2,2,2,1
,-2,0,0,-7,-1,-3,-3,0
,0,0,1,6,-4,-5,-1,-2
,-1,1,-2,-2,2,0,-2,-1
,-1,-1,-2,-1,4,0,-2,-1
,-1,-3,-2,-2,-2,1,0,-1
,0,-1,0,0,-3,0,-3,0
,-2,-3,1,-2,3,-1,-1,1
,-2,0,0,5,1,-1,-2,-2
,-1,1,-3,-5,-2,-1,0,-1
,-2,-1,-1,-2,0,-1,-2,-1
,0,-2,-2,8,2,2,-1,0
,0,-1,0,-15,-12,-3,-2,-1
,-1,0,-2,3,3,1,0,0
,-1,-1,0,1,-2,2,1,-1
,-2,-1,-3,-2,-1,0,-1,-2
,0,-2,-1,3,15,-2,0,-1
,-1,-2,0,-3,-7,-4,-2,-4
,-3,1,-3,0,2,-2,-1,0
,-1,-2,-2,-7,-8,-1,1,0
,0,-1,-2,-4,-4,0,-3,-1
,-1,-1,2,-3,4,0,-2,-1
,-1,-1,-2,-3,-5,-3,0,-1
,-1,-2,-2,0,2,-2,-2,-2
,0,0,-2,-2,0,0,1,1
,0,-2,-3,1,-3,-4,-3,-1
,0,0,-1,-2,0,-5,-2,-2
,-1,0,0,1,0,-3,-2,-2
,-1,-1,-1,1,0,1,0,0
,-1,-2,-3,-1,-2,-2,-3,-2
,-1,-3,-3,-3,0,-1,-1,-1
,0,-1,-1,-4,-2,-3,-1,0
,-1,-2,0,10,1,1,0,-2
,-2,-2,-4,-13,-7,-2,-1,-2
,0,0,2,0,-5,-1,0,0
,1,-1,-2,-9,3,1,-1,-2
,-2,0,1,5,-6,2,-1,-2
,-1,-1,-1,2,6,1,-1,-1
,-1,-1,-3,8,7,-2,-2,-1
,-2,-1,0,-20,-15,-3,0,0
,-1,1,0,0,9,-3,-1,-3
,1,-1,-2,-2,-3,0,-1,-1
,-2,-2,-2,0,5,1,-1,-2
,1,0,-1,6,3,0,-2,1
,0,-1,0,-5,-3,-1,0,0
,-2,0,2,6,-3,-1,1,1
,-1,-2,-2,-4,0,2,1,0
,-2,-2,0,3,-1,-3,-2,-1
,-1,0,-1,1,-3,-2,-2,-1
,-1,-1,-2,-8,0,2,-1,0
,-2,-1,1,1,-4,-3,-1,-1
,0,-2,-1,-2,2,0,-2,0
,-2,-3,-4,-1,-5,-3,-2,-2
,0,-1,-2,1,2,0,0,0
,-2,-2,-1,-4,-4,-3,0,-2
,-1,-2,-2,-1,-5,-4,-5,-1
,-1,-1,-3,2,2,-1,0,0
,0,1,5,10,13,2,2,0
,-2,-1,-3,-24,-20,-3,-5,-3
,-1,0,1,6,2,2,2,-1
,0,-1,-1,-1,-5,-3,-3,0
,-2,-2,-1,3,0,-2,-2,0
,-2,-1,0,1,6,1,1,-1
,-2,-1,0,0,-1,0,0,-3
,-2,-2,-2,-6,-1,-1,0,-2
,0,-1,6,-2,-4,-4,-2,-2
,1,0,-5,5,5,-2,-1,1
,2,2,-2,-5,-3,0,1,0
,-1,2,4,1,0,-2,-1,0
,-2,-1,-3,-4,-8,-4,-3,-1
,-1,-3,0,1,0,-2,-4,-1
,0,-3,-3,-1,1,1,1,0
,-2,-2,-4,0,-2,-2,-2,0
,0,0,-1,-6,-5,3,2,-2
,-1,-2,-1,2,1,-5,-3,-2
,-1,-1,-2,-10,-2,-5,-2,-2
,-1,-2,2,-3,-2,-2,-2,-1
,-2,0,-2,5,-2,0,1,-2
,0,0,-1,2,4,3,2,0
,-2,-1,2,14,7,1,-1,-2
,1,-2,-3,-12,-7,-2,1,0
,-1,0,-3,3,0,-5,-3,0
,-5,-4,-6,-17,-12,1,-6,-5
,-1,-2,1,15,5,-2,-1,-2
,0,1,6,10,5,3,-2,0
,-1,-2,-5,-14,-8,3,-1,-4
,-2,-1,2,2,-1,-6,-3,-1
,-1,-2,-2,-6,-2,2,1,-1
,0,-4,-4,-4,0,-1,1,-2
,0,-1,-1,-4,3,0,-1,0
,-1,1,2,4,-1,1,3,0
,-2,-3,-4,-6,-1,5,1,-2
,-2,-2,-2,2,-4,-9,-5,-2
,-1,1,1,0,6,4,2,0
,0,-3,-2,-1,5,-6,-7,-4
,-2,2,0,-13,-13,-3,3,-2
,8,1,-1,3,-3,5,13,20
,-4,-1,-3,-7,-3,-8,-6,-5
,-9,-5,-2,10,10,4,-14,-10
,2,-2,-2,3,-2,1,-21,-4
,-8,0,-2,-12,-5,-4,4,-13
,26,5,4,9,4,6,35,36
,-13,-6,-2,-3,-15,-11,-26,-16
,-8,-3,-1,0,-1,0,-4,-4
,-6,-3,-2,-6,2,6,-17,-9
,-1,0,0,4,-2,0,-2,0
,7,3,2,0,4,4,25,10
,3,1,0,0,1,-2,1,2
,-1,-3,-5,-1,-8,-4,-5,-2
,-5,-4,-4,-3,-6,-6,-1,-9
,5,0,-2,-6,-2,0,0,8
,-4,-1,2,3,-1,0,-1,-3
,3,-1,0,-2,4,3,7,8
,-7,-2,-1,-3,-2,-1,-12,-8
,-2,1,-2,-4,1,-1,5,-8
,2,2,1,8,5,2,9,2
,-4,-13,-6,-3,-5,-11,-4,3
,-3,8,-2,-9,-13,1,4,-3
,3,-6,0,0,1,0,-6,5
,-1,4,0,-1,-2,-7,-11,-5
,-7,-8,5,3,12,11,-1,-13
,0,6,1,4,9,2,-5,12
,1,-1,0,-6,-18,-6,7,13
,-11,14,3,6,23,18,8,-5
,12,-12,-7,-18,-32,-36,-18,-25
,6,5,-4,10,28,19,-6,20
,14,3,-7,-19,-47,-27,8,-15
,-4,-19,-4,1,12,6,-7,0
,-14,13,2,4,5,5,7,-7
,-13,-13,-1,-1,-4,0,6,-10
,-10,0,-2,1,9,-3,-4,0
,-1,-6,-5,-4,-4,3,5,-5
,5,4,3,6,-3,-12,9,18
,-11,-10,-5,-8,1,-17,-8,-21
,-3,1,1,6,12,23,-12,5
,-1,-4,-3,-7,-11,-35,8,-8
,3,3,-1,-5,1,6,-6,3
,5,2,2,3,-6,-18,0,5
,-4,2,2,7,13,13,1,-10
,3,-2,-2,-4,-6,17,12,5
,9,3,-3,-1,-3,4,7,7
,-20,-7,-5,-6,-16,-81,-29,-22
,8,-1,-2,-4,-5,29,-3,14
,-1,-3,-1,2,-1,-5,-10,7
,-11,4,4,10,19,27,8,-5
,-4,-12,-8,-11,-16,13,5,-11
,-3,0,5,12,25,-11,1,6
,-2,-3,-5,-14,-28,-10,-11,-5
,-8,0,-3,0,3,-17,4,2
,14,10,1,3,4,5,-7,-1
,0,-2,0,-4,-5,-11,0,1
,5,1,-1,0,-1,31,11,9
,-3,-1,-3,-4,-7,-21,-20,-11
,-5,-1,-5,-4,-7,41,-1,13
,-7,-6,-6,-7,-3,-11,-1,-5
,3,2,2,4,3,4,3,-1
,2,-4,-2,-1,-4,7,2,6
,-6,-2,1,6,13,1,4,-8
,-2,3,2,-2,-14,-2,2,-3
,1,-3,-1,-2,13,-24,-5,5
,5,2,-2,5,17,9,1,3
,-6,-3,-1,4,-1,-9,-5,-8
,-3,-2,-4,-11,-17,-17,3,-4
,0,0,-1,5,7,-4,-8,-8
,-4,-4,-3,-4,-11,-6,7,-1
,3,-3,1,3,6,20,2,2
,-1,-2,-1,5,9,6,-12,-2
,8,1,-3,-10,-22,-24,-8,3
,-8,-2,-2,-8,3,14,-9,-7
,-4,-14,2,-1,-11,0,10,3
,-4,1,-5,-2,-4,-19,1,2
,-2,-10,-1,6,16,24,-10,6
,-7,8,-1,1,-6,20,10,-6
,12,3,0,-9,7,12,6,0
,-11,-5,-3,-2,-5,-12,-1,-6
,9,19,1,-2,13,9,3,5
,-3,-9,-3,4,2,-3,-6,0
,-9,-5,0,-2,-13,11,-2,-5
,2,0,1,2,-5,12,2,0
,-3,-7,-2,-6,5,-19,-7,-8
,3,1,3,4,13,3,3,6
,4,3,1,6,17,5,-3,-4
,8,-5,4,12,17,15,7,6
,-10,-8,-7,-7,-61,-28,-1,-8
,2,9,-5,-11,-3,-19,-10,-3
,1,-4,0,-1,-1,1,2,3
,-3,0,-1,-4,2,7,3,-7
,-7,-6,-2,5,5,10,-6,2
,0,-3,1,8,3,4,16,5
,-4,-10,-2,-4,-5,-13,-22,-7
,7,12,3,0,-10,-1,3,3
,22,10,-1,-4,1,17,4,4
,-6,-10,-4,-6,-14,-32,-4,-7
,2,2,-5,-7,6,-5,1,3
,-9,-9,-3,3,-5,-6,-15,-6
,-11,-3,1,1,-1,5,-3,-9
,8,0,2,0,-3,14,-1,5
,-2,4,-2,-7,-11,15,10,-2
,7,2,1,-3,1,-34,2,6
,-3,0,-4,4,4,-3,19,-2
,-6,-4,-3,-1,3,17,4,1
,-10,-1,-4,-2,-11,-25,-22,-8
,4,2,0,-7,6,32,15,-3
,15,4,1,8,10,4,26,19
,-12,-6,0,-2,-3,-23,-50,-18
,-14,-7,-3,-4,-5,10,15,-9
,-9,-1,-7,-6,2,0,-11,1
,-6,-2,1,4,12,2,-17,-7
,-8,-4,-4,-9,-21,-51,-13,-11
,13,6,1,1,-12,-21,0,20
,0,-1,0,2,21,37,43,-12
,-9,-2,2,0,15,-12,-10,6
,1,0,-3,-9,-25,26,14,-3
,6,6,5,6,3,-20,20,10
,-1,-2,0,11,12,-12,-41,-15
,-5,-4,-2,-7,-9,13,-6,-3
